-------------------------------------------------------------------------------------------------

ICSE 2017 research paper data 

-------------------------------------------------------------------------------------------------

-------------------------------------------------------------------------------------------------
Plugins by scenario
-------------------------------------------------------------------------------------------------

ID   Plugin_Version                                               OOP_or_POP Scenario
---- ------------------------------------------------------------ ---------- --------------------
1    adrotate.3.9.4                                               OOP        Heightened-critical
2    advertizer.1.0                                               OOP        Business-critical
3    ajaxgallery.3.0                                              POP        Business-critical
4    all-video-gallery.1.2                                        OOP        Heightened-critical
5    another-wordpress-classifieds-plugin.2.2.1                   OOP        Best-effort
6    bigcontact.1.4.6                                             OOP        Best-effort
7    calculated-fields-form.1.0.10                                POP        Best-effort
8    calendar.1.3.3                                               POP        Min-effort
9    collision-testimonials.3.0                                   OOP        Best-effort
10   community-events.1.2.9                                       OOP        Best-effort
11   contact-form.2.7.5                                           OOP        Best-effort
12   content-audit.1.6                                            POP        Best-effort
13   contextual-related-posts.2.0.1                               OOP        Heightened-critical
14   contus-hd-flv-player.1.3                                     OOP        Heightened-critical
15   contus-video-gallery.2.8                                     OOP        Best-effort
16   copyright-licensing-tools.1.4                                POP        Heightened-critical
17   count-per-day.3.4                                            OOP        Min-effort
18   couponer.1.2                                                 OOP        Heightened-critical
19   cp-multi-view-calendar.1.1.7                                 OOP        Heightened-critical
20   cp-reservation-calendar.1.1.6                                POP        Best-effort
21   crawlrate-tracker.2.02                                       OOP        Heightened-critical
22   disqus-comment-system.2.02.2812                              OOP        Heightened-critical
23   dukapress.2.5.9                                              OOP        Best-effort
24   duplicator.0.5.14                                            OOP        Heightened-critical
25   dynamic-font-replacement-4wp.1.3                             POP        Business-critical
26   easy2map.1.2.4                                               OOP        Best-effort
27   easy-career-openings                                         OOP        Business-critical
28   editorial-calendar.2.6                                       OOP        Best-effort
29   evarisk.5.1.3.6                                              OOP        Best-effort
30   eventify.1.7.f                                               OOP        Min-effort
31   events-calendar.6.6                                          OOP        Best-effort
32   events-manager.5.5.3.1                                       OOP        Best-effort
33   events-registration.5.44                                     POP        Best-effort
34   external-video-for-everybody.2.1.1                           POP        Best-effort
35   facebook-opengraph-meta-plugin.1.0                           OOP        Best-effort
